# Directed graph: core_kron.txt 
# Kronecker Graph: seed matrix [0.9 0.5; 0.5 0.3]
# Nodes: 64 Edges: 113
# FromNodeId	ToNodeId
0	0
0	1
0	17
1	8
1	13
1	24
1	27
1	34
1	41
1	46
2	0
2	8
2	17
2	19
3	3
3	51
4	8
4	24
4	31
4	32
4	49
5	15
5	59
6	0
6	1
6	6
6	42
7	8
7	34
8	0
8	9
8	20
8	40
9	5
9	32
9	48
10	7
11	11
11	32
12	2
12	32
13	1
15	16
15	18
16	11
16	21
16	32
16	53
17	2
17	40
18	32
18	40
18	49
19	28
19	48
20	7
20	49
21	4
21	7
21	16
21	55
22	0
23	24
24	0
24	8
26	12
26	51
27	25
29	5
30	50
32	4
32	8
32	28
32	49
33	0
33	2
33	25
33	45
34	5
34	10
34	22
34	24
35	0
35	25
35	35
36	21
36	26
38	0
38	40
40	1
40	41
41	13
41	14
42	12
43	4
44	0
44	42
45	3
46	36
48	21
48	32
49	20
49	56
50	56
52	1
53	17
53	32
54	1
54	58
56	3
61	0
61	14
62	11
