# Directed graph: hier_kron.txt 
# Kronecker Graph: seed matrix [0.9 0.1; 0.1 0.9]
# Nodes: 64 Edges: 64
# FromNodeId	ToNodeId
3	19
5	5
6	2
9	9
10	10
11	11
12	12
12	14
13	12
13	13
13	15
13	44
13	61
14	12
14	14
15	15
16	16
17	16
18	18
19	23
19	25
20	4
20	18
23	23
24	8
24	48
26	10
26	26
27	59
28	12
28	28
30	30
31	15
31	29
31	31
31	63
32	33
33	17
34	34
35	34
35	35
36	36
36	37
37	37
38	6
40	33
41	40
41	45
43	35
43	47
46	46
47	47
49	49
50	50
50	58
53	55
54	54
56	56
57	57
59	58
59	59
60	60
61	61
62	62
